second_end,epoch_start,epoch_end,wall_delta_s,qemu_cpu_delta_s,host_cpu_pct,host_ps_cpu_pct_end,normalized_8vcpu_pct,busy_vcpu_equiv,rss_mb_end,vsz_mb_end
399,1780140158,1780140159,1,5.8700,587.00,587.60,73.38,5.87,1109.06,429488.67
400,1780140159,1780140160,1,5.6900,569.00,570.00,71.12,5.69,1142.22,429488.67
401,1780140160,1780140161,1,5.3200,532.00,552.80,66.50,5.32,1161.84,429488.67
402,1780140161,1780140162,1,4.9100,491.00,507.70,61.37,4.91,1181.39,429488.67
403,1780140162,1780140163,1,5.8600,586.00,574.10,73.25,5.86,1187.81,429488.67
404,1780140163,1780140164,1,6.4500,645.00,653.30,80.63,6.45,1215.92,429488.67
405,1780140164,1780140165,1,6.2900,629.00,589.00,78.62,6.29,1238.16,429488.67
406,1780140165,1780140166,1,5.7200,572.00,572.00,71.50,5.72,1243.89,429488.67
407,1780140166,1780140167,1,4.7300,473.00,411.50,59.13,4.73,1245.45,429488.67
408,1780140167,1780140168,1,4.6100,461.00,508.00,57.62,4.61,1224.89,429488.67
409,1780140168,1780140169,1,5.4800,548.00,510.80,68.50,5.48,1223.89,429488.67
410,1780140169,1780140170,1,5.0800,508.00,534.10,63.50,5.08,1104.84,429488.67
411,1780140170,1780140171,1,4.9700,497.00,473.90,62.13,4.97,1036.05,429488.67
412,1780140171,1780140172,1,5.3700,537.00,551.90,67.13,5.37,942.30,429488.67
413,1780140172,1780140173,1,5.1600,516.00,532.20,64.50,5.16,750.30,429488.67
414,1780140173,1780140174,1,6.2000,620.00,628.70,77.50,6.20,746.20,429488.67
415,1780140174,1780140175,1,5.5600,556.00,554.10,69.50,5.56,752.77,429488.67
416,1780140175,1780140176,1,5.6900,569.00,567.80,71.13,5.69,783.67,429488.67
417,1780140176,1780140177,1,5.3500,535.00,501.30,66.87,5.35,842.31,429488.67
418,1780140177,1780140178,1,5.3600,536.00,553.20,67.00,5.36,951.19,429488.67
419,1780140178,1780140179,1,5.5300,553.00,552.60,69.12,5.53,1027.02,429488.67
420,1780140179,1780140180,1,3.7900,379.00,319.40,47.37,3.79,1037.56,429488.67
421,1780140180,1780140181,1,3.1100,311.00,301.00,38.88,3.11,1046.53,429488.67
422,1780140181,1780140182,1,2.9100,291.00,264.80,36.37,2.91,1050.92,429488.67
423,1780140182,1780140183,1,2.1900,219.00,217.80,27.38,2.19,1085.62,429488.67
424,1780140183,1780140184,1,2.1000,210.00,202.20,26.25,2.10,1096.34,429488.67
425,1780140184,1780140185,1,2.0400,204.00,200.10,25.50,2.04,1097.33,429488.67
426,1780140185,1780140186,1,2.0400,204.00,200.30,25.50,2.04,1097.48,429488.67
427,1780140186,1780140187,1,2.0500,205.00,202.90,25.62,2.05,1101.67,429488.67
428,1780140187,1780140188,1,2.0400,204.00,200.00,25.50,2.04,1104.44,429488.67
429,1780140188,1780140189,1,2.0700,207.00,203.20,25.87,2.07,1107.44,429488.67
430,1780140189,1780140190,1,2.0900,209.00,207.00,26.13,2.09,1110.61,429488.67
431,1780140190,1780140191,1,2.0400,204.00,201.60,25.50,2.04,1124.59,429488.67
432,1780140191,1780140192,1,2.0400,204.00,201.10,25.50,2.04,1143.23,429488.67
433,1780140192,1780140193,1,1.7500,175.00,151.80,21.88,1.75,1153.69,429488.67
434,1780140193,1780140194,1,1.0300,103.00,104.30,12.87,1.03,1153.11,429488.67
435,1780140194,1780140195,1,1.1900,119.00,142.70,14.88,1.19,1153.05,429488.67
436,1780140195,1780140196,1,2.0300,203.00,198.40,25.37,2.03,1151.52,429488.67
437,1780140196,1780140197,1,2.0400,204.00,200.60,25.50,2.04,1150.03,429488.67
438,1780140197,1780140198,1,2.0500,205.00,202.80,25.62,2.05,1094.00,429488.67
439,1780140198,1780140199,1,2.0400,204.00,202.90,25.50,2.04,1109.36,429488.67
440,1780140199,1780140200,1,2.1900,219.00,233.00,27.37,2.19,1139.70,429488.67
441,1780140200,1780140201,1,2.3900,239.00,220.20,29.88,2.39,1161.30,429488.67
442,1780140201,1780140202,1,2.0400,204.00,202.80,25.50,2.04,1167.75,429488.67
443,1780140202,1780140203,1,2.0500,205.00,201.30,25.62,2.05,1170.08,429488.67
444,1780140203,1780140204,1,2.0300,203.00,202.70,25.37,2.03,1171.61,429488.67
445,1780140204,1780140205,1,2.0500,205.00,202.20,25.63,2.05,1172.05,429488.67
446,1780140205,1780140206,1,2.0300,203.00,201.10,25.37,2.03,1034.09,429488.67
447,1780140206,1780140207,1,2.0400,204.00,201.90,25.50,2.04,1034.20,429488.67
448,1780140207,1780140208,1,2.0400,204.00,198.90,25.50,2.04,902.03,429488.67
449,1780140208,1780140209,1,2.0400,204.00,200.40,25.50,2.04,824.20,429488.67
450,1780140209,1780140210,1,2.0400,204.00,201.60,25.50,2.04,824.31,429488.67
451,1780140210,1780140211,1,2.0400,204.00,202.10,25.50,2.04,815.05,429488.67
452,1780140211,1780140212,1,2.0500,205.00,201.30,25.63,2.05,786.81,429488.67
453,1780140212,1780140213,1,2.0400,204.00,200.00,25.50,2.04,780.80,429488.67
454,1780140213,1780140214,1,2.0400,204.00,198.60,25.50,2.04,781.14,429488.67
455,1780140214,1780140215,1,2.0300,203.00,200.70,25.37,2.03,781.25,429488.67
456,1780140215,1780140216,1,2.0300,203.00,197.50,25.37,2.03,676.66,429488.67
457,1780140216,1780140217,1,2.0400,204.00,200.00,25.50,2.04,682.61,429488.67
458,1780140217,1780140218,1,2.0400,204.00,199.60,25.50,2.04,683.89,429488.67
459,1780140218,1780140219,1,2.0400,204.00,199.50,25.50,2.04,686.94,429488.67
461,1780140219,1780140221,2,2.0300,101.50,200.50,12.69,1.01,696.23,429487.58
462,1780140221,1780140222,1,2.0500,205.00,199.60,25.62,2.05,703.19,429487.58
463,1780140222,1780140223,1,2.0400,204.00,202.00,25.50,2.04,704.78,429488.12
464,1780140223,1780140224,1,2.0400,204.00,201.60,25.50,2.04,704.89,429488.12
465,1780140224,1780140225,1,2.0400,204.00,202.40,25.50,2.04,706.64,429488.12
466,1780140225,1780140226,1,2.0400,204.00,200.70,25.50,2.04,707.06,429488.12
467,1780140226,1780140227,1,2.0500,205.00,200.40,25.62,2.05,707.09,429488.12
468,1780140227,1780140228,1,2.0500,205.00,200.00,25.62,2.05,707.00,429488.12
469,1780140228,1780140229,1,2.0200,202.00,200.10,25.25,2.02,706.94,429488.12
470,1780140229,1780140230,1,1.9800,198.00,192.80,24.75,1.98,625.86,429488.12
471,1780140230,1780140231,1,2.0600,206.00,203.20,25.75,2.06,627.59,429488.12
472,1780140231,1780140232,1,2.0400,204.00,201.30,25.50,2.04,625.98,429488.12
473,1780140232,1780140233,1,2.0500,205.00,200.30,25.63,2.05,625.98,429488.12
474,1780140233,1780140234,1,2.0400,204.00,202.70,25.50,2.04,623.17,429488.12
475,1780140234,1780140235,1,2.0400,204.00,198.80,25.50,2.04,619.53,429488.12
476,1780140235,1780140236,1,2.0400,204.00,201.10,25.50,2.04,618.20,429488.12
477,1780140236,1780140237,1,2.0400,204.00,200.60,25.50,2.04,618.20,429488.12
478,1780140237,1780140238,1,2.0700,207.00,201.10,25.88,2.07,619.66,429488.12
479,1780140238,1780140239,1,2.0400,204.00,199.90,25.50,2.04,619.70,429488.12
480,1780140239,1780140240,1,2.0500,205.00,200.60,25.62,2.05,621.08,429488.12
481,1780140240,1780140241,1,2.0300,203.00,200.10,25.37,2.03,629.27,429488.12
482,1780140241,1780140242,1,2.0500,205.00,200.00,25.62,2.05,642.45,429488.12
483,1780140242,1780140243,1,2.0400,204.00,200.90,25.50,2.04,654.27,429488.12
484,1780140243,1780140244,1,2.0300,203.00,202.60,25.38,2.03,666.28,429488.12
485,1780140244,1780140245,1,2.0300,203.00,202.50,25.37,2.03,676.14,429488.12
486,1780140245,1780140246,1,2.0400,204.00,202.60,25.50,2.04,690.41,429488.12
487,1780140246,1780140247,1,2.0400,204.00,202.30,25.50,2.04,693.36,429488.12
488,1780140247,1780140248,1,2.0400,204.00,202.30,25.50,2.04,708.03,429488.12
489,1780140248,1780140249,1,2.0400,204.00,200.30,25.50,2.04,705.34,429488.12
490,1780140249,1780140250,1,2.0500,205.00,199.50,25.63,2.05,717.75,429488.12
491,1780140250,1780140251,1,2.0200,202.00,199.90,25.25,2.02,731.50,429488.12
492,1780140251,1780140252,1,2.0500,205.00,199.80,25.62,2.05,736.86,429488.12
493,1780140252,1780140253,1,2.0400,204.00,202.60,25.50,2.04,746.80,429488.12
494,1780140253,1780140254,1,2.0400,204.00,203.00,25.50,2.04,763.62,429488.12
495,1780140254,1780140255,1,2.0400,204.00,200.40,25.50,2.04,772.97,429488.12
496,1780140255,1780140256,1,2.0600,206.00,203.50,25.75,2.06,783.75,429488.12
497,1780140256,1780140257,1,2.0500,205.00,203.20,25.62,2.05,793.80,429488.12
498,1780140257,1780140258,1,2.0600,206.00,203.50,25.75,2.06,798.11,429488.12
499,1780140258,1780140259,1,2.0600,206.00,201.10,25.75,2.06,809.34,429488.12
500,1780140259,1780140260,1,2.0500,205.00,201.20,25.62,2.05,818.67,429488.12
501,1780140260,1780140261,1,2.0300,203.00,201.10,25.38,2.03,834.42,429488.12
502,1780140261,1780140262,1,2.0600,206.00,203.60,25.75,2.06,843.86,429488.12
503,1780140262,1780140263,1,2.0500,205.00,202.20,25.62,2.05,851.14,429488.12
504,1780140263,1780140264,1,2.0400,204.00,203.00,25.50,2.04,855.64,429488.12
505,1780140264,1780140265,1,2.0500,205.00,202.30,25.62,2.05,868.64,429488.12
506,1780140265,1780140266,1,2.0200,202.00,198.50,25.25,2.02,796.22,429488.12
507,1780140266,1780140267,1,2.0500,205.00,202.80,25.63,2.05,810.91,429488.12
508,1780140267,1780140268,1,2.0500,205.00,202.60,25.62,2.05,816.78,429488.12
509,1780140268,1780140269,1,2.0300,203.00,202.00,25.38,2.03,822.44,429488.12
510,1780140269,1780140270,1,2.0500,205.00,201.50,25.63,2.05,777.98,429488.12
511,1780140270,1780140271,1,2.0500,205.00,203.40,25.62,2.05,788.41,429488.12
512,1780140271,1780140272,1,1.9700,197.00,195.10,24.63,1.97,714.75,429488.12
513,1780140272,1780140273,1,2.0600,206.00,203.50,25.75,2.06,656.06,429488.12
514,1780140273,1780140274,1,2.0700,207.00,203.20,25.87,2.07,668.14,429488.12
515,1780140274,1780140275,1,2.0600,206.00,202.30,25.75,2.06,678.17,429488.12
516,1780140275,1780140276,1,2.0400,204.00,202.30,25.50,2.04,664.61,429488.12
517,1780140276,1780140277,1,2.0500,205.00,202.10,25.62,2.05,678.70,429488.12
518,1780140277,1780140278,1,2.0600,206.00,203.90,25.75,2.06,663.62,429488.12
519,1780140278,1780140279,1,2.0600,206.00,203.20,25.75,2.06,635.97,429488.12
520,1780140279,1780140280,1,2.0700,207.00,200.30,25.88,2.07,648.64,429488.12
521,1780140280,1780140281,1,2.0700,207.00,203.90,25.88,2.07,660.08,429487.58
522,1780140281,1780140282,1,2.0600,206.00,202.60,25.75,2.06,666.91,429488.12
523,1780140282,1780140283,1,2.0700,207.00,204.50,25.87,2.07,665.64,429488.12
524,1780140283,1780140284,1,2.0700,207.00,202.20,25.88,2.07,672.50,429488.12
525,1780140284,1780140285,1,2.0700,207.00,204.00,25.88,2.07,682.23,429488.12
526,1780140285,1780140286,1,2.0600,206.00,204.00,25.75,2.06,692.88,429488.12
527,1780140286,1780140287,1,2.0600,206.00,204.10,25.75,2.06,700.05,429488.12
528,1780140287,1780140288,1,2.0600,206.00,204.00,25.75,2.06,707.41,429488.12
529,1780140288,1780140289,1,2.0700,207.00,201.60,25.88,2.07,693.98,429488.12
530,1780140289,1780140290,1,2.0600,206.00,202.90,25.75,2.06,702.56,429488.12
531,1780140290,1780140291,1,2.0500,205.00,203.70,25.62,2.05,715.44,429488.12
532,1780140291,1780140292,1,2.0600,206.00,204.40,25.75,2.06,724.77,429487.58
533,1780140292,1780140293,1,2.0800,208.00,204.20,26.00,2.08,730.02,429487.58
534,1780140293,1780140294,1,2.0600,206.00,203.50,25.75,2.06,736.00,429487.58
535,1780140294,1780140295,1,2.0700,207.00,202.80,25.87,2.07,744.08,429487.58
536,1780140295,1780140296,1,2.0600,206.00,203.00,25.75,2.06,751.34,429487.58
537,1780140296,1780140297,1,2.0500,205.00,202.00,25.62,2.05,761.64,429487.58
538,1780140297,1780140298,1,2.0700,207.00,201.90,25.88,2.07,772.16,429488.12
539,1780140298,1780140299,1,2.0600,206.00,201.60,25.75,2.06,779.78,429488.12
540,1780140299,1780140300,1,2.0600,206.00,203.90,25.75,2.06,787.89,429488.12
541,1780140300,1780140301,1,2.0800,208.00,203.30,26.00,2.08,796.36,429488.12
543,1780140301,1780140303,2,2.0600,103.00,203.20,12.87,1.03,804.91,429488.12
544,1780140303,1780140304,1,2.0700,207.00,200.70,25.88,2.07,931.83,429488.12
545,1780140304,1780140305,1,2.0600,206.00,204.00,25.75,2.06,1112.75,429488.12
546,1780140305,1780140306,1,2.0600,206.00,200.50,25.75,2.06,1113.06,429488.12
547,1780140306,1780140307,1,2.0700,207.00,201.90,25.88,2.07,1132.27,429488.12
548,1780140307,1780140308,1,2.0700,207.00,201.30,25.88,2.07,1133.12,429488.12
549,1780140308,1780140309,1,2.0700,207.00,203.10,25.87,2.07,1133.41,429488.12
550,1780140309,1780140310,1,2.0000,200.00,178.00,25.00,2.00,1251.52,429488.12
551,1780140310,1780140311,1,1.6200,162.00,159.80,20.25,1.62,1303.44,429488.12
