epoch,runner_t_s,build_t_s,root_pid,tree_cpu_pct_sum,busy_core_equiv,normalized_8core_pct,process_count,rustc_count,cargo_count,build_script_count,max_process_cpu_pct,top_command
1780132205.301,13.464,0.301,68902,100.00,1.00,12.50,3,0,0,0,95.50,rsync -a --delete --exclude .git --exclude target --exclude .m6-work /Users/txc/code/Auto-OS/tgoskits/ /private/tmp/host-starryos-aligned-j1-src-20260530T171000-native-j1/
1780132206.329,14.492,1.329,68902,33.10,0.33,4.14,4,0,1,0,33.10,"/Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/bin/cargo build -p starryos --bin starryos --target aarch64-unknown-none-softfloat -Z build-std=core,alloc,compiler_builtins --target-dir /private/tmp/host-starryos-aligned-j1-target-20260530T171000-native-j1 --features qemu,gic-v3,cntv-timer,smp --release"
1780132207.367,15.530,2.367,68902,1.00,0.01,0.12,5,1,1,0,1.00,"/Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/bin/cargo build -p starryos --bin starryos --target aarch64-unknown-none-softfloat -Z build-std=core,alloc,compiler_builtins --target-dir /private/tmp/host-starryos-aligned-j1-target-20260530T171000-native-j1 --features qemu,gic-v3,cntv-timer,smp --release"
1780132208.399,16.562,3.399,68902,91.60,0.92,11.45,5,1,1,0,91.60,"/Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/bin/rustc --crate-name core --edition=2024 /Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/lib.rs --error-format=json --json=diagnostic-rendered-ansi,artifacts,future-incompat --crate-type lib --emit=dep-info,metadata,link -C opt-level=3 -C linker-plugin-lto --warn=unexpected_cfgs --check-cfg cfg(no_fp_fmt_parse) --check-cfg cfg(feature, values(any())) --check-cfg cfg(target_has_reliable_f16) --check-cfg cfg(target_has_reliable_f16_math) --check-cfg cfg(target_has_reliable_f128) --check-cfg cfg(target_has_reliable_f128_math) --check-cfg cfg(llvm_enzyme) --check-cfg cfg(docsrs,test) --check-cfg cfg(feature, values(""debug_refcell"", ""llvm_enzyme"", ""optimize_for_size"", ""panic_immediate_abort"")) -C metadata=8514cc1fb2c882d8 -C extra-filename=-24028a52cfebc9af --out-dir /private/tmp/host-starryos-aligned-j1-target-20260530T171000-native-j1/aarch64-unknown-none-softfloat/release/deps --target aarch64-unknown-none-softfloat -C strip=debuginfo -Z force-unstable-if-unmarked -L dependency=/private/tmp/host-starryos-aligned-j1-target-20260530T171000-native-j1/aarch64-unknown-none-softfloat/release/deps -L dependency=/private/tmp/host-starryos-aligned-j1-target-20260530T171000-native-j1/release/deps --cap-lints allow -Clink-arg=-Tlinker.x -Clink-arg=-no-pie -Clink-arg=-znostart-stop-gc"
1780132209.431,17.594,4.431,68902,97.00,0.97,12.12,5,1,1,0,97.00,"/Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/bin/rustc --crate-name core --edition=2024 /Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/lib.rs --error-format=json --json=diagnostic-rendered-ansi,artifacts,future-incompat --crate-type lib --emit=dep-info,metadata,link -C opt-level=3 -C linker-plugin-lto --warn=unexpected_cfgs --check-cfg cfg(no_fp_fmt_parse) --check-cfg cfg(feature, values(any())) --check-cfg cfg(target_has_reliable_f16) --check-cfg cfg(target_has_reliable_f16_math) --check-cfg cfg(target_has_reliable_f128) --check-cfg cfg(target_has_reliable_f128_math) --check-cfg cfg(llvm_enzyme) --check-cfg cfg(docsrs,test) --check-cfg cfg(feature, values(""debug_refcell"", ""llvm_enzyme"", ""optimize_for_size"", ""panic_immediate_abort"")) -C metadata=8514cc1fb2c882d8 -C extra-filename=-24028a52cfebc9af --out-dir /private/tmp/host-starryos-aligned-j1-target-20260530T171000-native-j1/aarch64-unknown-none-softfloat/release/deps --target aarch64-unknown-none-softfloat -C strip=debuginfo -Z force-unstable-if-unmarked -L dependency=/private/tmp/host-starryos-aligned-j1-target-20260530T171000-native-j1/aarch64-unknown-none-softfloat/release/deps -L dependency=/private/tmp/host-starryos-aligned-j1-target-20260530T171000-native-j1/release/deps --cap-lints allow -Clink-arg=-Tlinker.x -Clink-arg=-no-pie -Clink-arg=-znostart-stop-gc"
1780132210.471,18.634,5.471,68902,97.10,0.97,12.14,5,1,1,0,97.10,"/Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/bin/rustc --crate-name core --edition=2024 /Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/lib.rs --error-format=json --json=diagnostic-rendered-ansi,artifacts,future-incompat --crate-type lib --emit=dep-info,metadata,link -C opt-level=3 -C linker-plugin-lto --warn=unexpected_cfgs --check-cfg cfg(no_fp_fmt_parse) --check-cfg cfg(feature, values(any())) --check-cfg cfg(target_has_reliable_f16) --check-cfg cfg(target_has_reliable_f16_math) --check-cfg cfg(target_has_reliable_f128) --check-cfg cfg(target_has_reliable_f128_math) --check-cfg cfg(llvm_enzyme) --check-cfg cfg(docsrs,test) --check-cfg cfg(feature, values(""debug_refcell"", ""llvm_enzyme"", ""optimize_for_size"", ""panic_immediate_abort"")) -C metadata=8514cc1fb2c882d8 -C extra-filename=-24028a52cfebc9af --out-dir /private/tmp/host-starryos-aligned-j1-target-20260530T171000-native-j1/aarch64-unknown-none-softfloat/release/deps --target aarch64-unknown-none-softfloat -C strip=debuginfo -Z force-unstable-if-unmarked -L dependency=/private/tmp/host-starryos-aligned-j1-target-20260530T171000-native-j1/aarch64-unknown-none-softfloat/release/deps -L dependency=/private/tmp/host-starryos-aligned-j1-target-20260530T171000-native-j1/release/deps --cap-lints allow -Clink-arg=-Tlinker.x -Clink-arg=-no-pie -Clink-arg=-znostart-stop-gc"
1780132211.503,19.666,6.503,68902,99.40,0.99,12.43,5,1,1,0,99.40,"/Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/bin/rustc --crate-name core --edition=2024 /Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/lib.rs --error-format=json --json=diagnostic-rendered-ansi,artifacts,future-incompat --crate-type lib --emit=dep-info,metadata,link -C opt-level=3 -C linker-plugin-lto --warn=unexpected_cfgs --check-cfg cfg(no_fp_fmt_parse) --check-cfg cfg(feature, values(any())) --check-cfg cfg(target_has_reliable_f16) --check-cfg cfg(target_has_reliable_f16_math) --check-cfg cfg(target_has_reliable_f128) --check-cfg cfg(target_has_reliable_f128_math) --check-cfg cfg(llvm_enzyme) --check-cfg cfg(docsrs,test) --check-cfg cfg(feature, values(""debug_refcell"", ""llvm_enzyme"", ""optimize_for_size"", ""panic_immediate_abort"")) -C metadata=8514cc1fb2c882d8 -C extra-filename=-24028a52cfebc9af --out-dir /private/tmp/host-starryos-aligned-j1-target-20260530T171000-native-j1/aarch64-unknown-none-softfloat/release/deps --target aarch64-unknown-none-softfloat -C strip=debuginfo -Z force-unstable-if-unmarked -L dependency=/private/tmp/host-starryos-aligned-j1-target-20260530T171000-native-j1/aarch64-unknown-none-softfloat/release/deps -L dependency=/private/tmp/host-starryos-aligned-j1-target-20260530T171000-native-j1/release/deps --cap-lints allow -Clink-arg=-Tlinker.x -Clink-arg=-no-pie -Clink-arg=-znostart-stop-gc"
1780132212.534,20.697,7.534,68902,39.60,0.40,4.95,5,1,1,0,39.60,"/Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/bin/rustc --crate-name core --edition=2024 /Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/lib.rs --error-format=json --json=diagnostic-rendered-ansi,artifacts,future-incompat --crate-type lib --emit=dep-info,metadata,link -C opt-level=3 -C linker-plugin-lto --warn=unexpected_cfgs --check-cfg cfg(no_fp_fmt_parse) --check-cfg cfg(feature, values(any())) --check-cfg cfg(target_has_reliable_f16) --check-cfg cfg(target_has_reliable_f16_math) --check-cfg cfg(target_has_reliable_f128) --check-cfg cfg(target_has_reliable_f128_math) --check-cfg cfg(llvm_enzyme) --check-cfg cfg(docsrs,test) --check-cfg cfg(feature, values(""debug_refcell"", ""llvm_enzyme"", ""optimize_for_size"", ""panic_immediate_abort"")) -C metadata=8514cc1fb2c882d8 -C extra-filename=-24028a52cfebc9af --out-dir /private/tmp/host-starryos-aligned-j1-target-20260530T171000-native-j1/aarch64-unknown-none-softfloat/release/deps --target aarch64-unknown-none-softfloat -C strip=debuginfo -Z force-unstable-if-unmarked -L dependency=/private/tmp/host-starryos-aligned-j1-target-20260530T171000-native-j1/aarch64-unknown-none-softfloat/release/deps -L dependency=/private/tmp/host-starryos-aligned-j1-target-20260530T171000-native-j1/release/deps --cap-lints allow -Clink-arg=-Tlinker.x -Clink-arg=-no-pie -Clink-arg=-znostart-stop-gc"
1780132213.566,21.729,8.566,68902,70.40,0.70,8.80,5,1,1,0,70.20,"/Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/bin/rustc --crate-name compiler_builtins --edition=2024 /Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/lib/rustlib/src/rust/library/compiler-builtins/compiler-builtins/src/lib.rs --error-format=json --json=diagnostic-rendered-ansi,artifacts,future-incompat --crate-type lib --emit=dep-info,metadata,link -C opt-level=3 -C linker-plugin-lto --cfg feature=""arch"" --cfg feature=""compiler-builtins"" --cfg feature=""default"" --cfg feature=""unmangled-names"" --check-cfg cfg(docsrs,test) --check-cfg cfg(feature, values(""arch"", ""c"", ""compiler-builtins"", ""default"", ""mem"", ""unmangled-names"", ""unstable-public-internals"")) -C metadata=0262f99049eec8a5 -C extra-filename=-fadd5bc9339268c7 --out-dir /private/tmp/host-starryos-aligned-j1-target-20260530T171000-native-j1/aarch64-unknown-none-softfloat/release/deps --target aarch64-unknown-none-softfloat -C strip=debuginfo -Z force-unstable-if-unmarked -L dependency=/private/tmp/host-starryos-aligned-j1-target-20260530T171000-native-j1/aarch64-unknown-none-softfloat/release/deps -L dependency=/private/tmp/host-starryos-aligned-j1-target-20260530T171000-native-j1/release/deps --extern core=/private/tmp/host-starryos-aligned-j1-target-20260530T171000-native-j1/aarch64-unknown-none-softfloat/release/deps/libcore-24028a52cfebc9af.rmeta --cap-lints allow -Clink-arg=-Tlinker.x -Clink-arg=-no-pie -Clink-arg=-znostart-stop-gc --cfg intrinsics_enabled --cfg optimizations_enabled --cfg f16_enabled --cfg f128_enabled --cfg feature=""mem"" --cfg mem_unaligned --check-cfg cfg(thumb) --check-cfg cfg(thumb_1) --check-cfg cfg(x86_no_sse2) --check-cfg cfg(assert_no_panic) --check-cfg cfg(intrinsics_enabled) --check-cfg cfg(optimizations_enabled) --check-cfg cfg(f16_enabled) --check-cfg cfg(f128_enabled) --check-cfg cfg(__ashldi3, values(""optimized-c"")) --check-cfg cfg(__ashlsi3, values(""optimized-c"")) --check-cfg cfg(__ashrdi3, values(""optimized-c"")) --check-cfg cfg(__ashrsi3, values(""optimized-c"")) --check-cfg cfg(__bswapsi2, values(""optimized-c"")) --check-cfg cfg(__bswapdi2, values(""optimized-c"")) --check-cfg cfg(__bswapti2, values(""optimized-c"")) --check-cfg cfg(__divdi3, values(""optimized-c"")) --check-cfg cfg(__divsi3, values(""optimized-c"")) --check-cfg cfg(__divmoddi4, values(""optimized-c"")) --check-cfg cfg(__divmodsi4, values(""optimized-c"")) --check-cfg cfg(__divmodsi4, values(""optimized-c"")) --check-cfg cfg(__divmodti4, values(""optimized-c"")) --check-cfg cfg(__lshrdi3, values(""optimized-c"")) --check-cfg cfg(__lshrsi3, values(""optimized-c"")) --check-cfg cfg(__moddi3, values(""optimized-c"")) --check-cfg cfg(__modsi3, values(""optimized-c"")) --check-cfg cfg(__muldi3, values(""optimized-c"")) --check-cfg cfg(__udivdi3, values(""optimized-c"")) --check-cfg cfg(__udivmoddi4, values(""optimized-c"")) --check-cfg cfg(__udivmodsi4, values(""optimized-c"")) --check-cfg cfg(__udivsi3, values(""optimized-c"")) --check-cfg cfg(__umoddi3, values(""optimized-c"")) --check-cfg cfg(__umodsi3, values(""optimized-c"")) --check-cfg cfg(__aarch64_cas1_relax, values(""optimized-c"")) --check-cfg cfg(__aarch64_cas1_acq, values(""optimized-c"")) --check-cfg cfg(__aarch64_cas1_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_cas1_acq_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_cas2_relax, values(""optimized-c"")) --check-cfg cfg(__aarch64_cas2_acq, values(""optimized-c"")) --check-cfg cfg(__aarch64_cas2_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_cas2_acq_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_cas4_relax, values(""optimized-c"")) --check-cfg cfg(__aarch64_cas4_acq, values(""optimized-c"")) --check-cfg cfg(__aarch64_cas4_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_cas4_acq_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_cas8_relax, values(""optimized-c"")) --check-cfg cfg(__aarch64_cas8_acq, values(""optimized-c"")) --check-cfg cfg(__aarch64_cas8_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_cas8_acq_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_cas16_relax, values(""optimized-c"")) --check-cfg cfg(__aarch64_cas16_acq, values(""optimized-c"")) --check-cfg cfg(__aarch64_cas16_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_cas16_acq_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldadd1_relax, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldadd1_acq, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldadd1_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldadd1_acq_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldadd2_relax, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldadd2_acq, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldadd2_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldadd2_acq_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldadd4_relax, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldadd4_acq, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldadd4_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldadd4_acq_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldadd8_relax, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldadd8_acq, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldadd8_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldadd8_acq_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldclr1_relax, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldclr1_acq, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldclr1_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldclr1_acq_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldclr2_relax, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldclr2_acq, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldclr2_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldclr2_acq_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldclr4_relax, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldclr4_acq, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldclr4_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldclr4_acq_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldclr8_relax, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldclr8_acq, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldclr8_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldclr8_acq_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldeor1_relax, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldeor1_acq, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldeor1_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldeor1_acq_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldeor2_relax, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldeor2_acq, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldeor2_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldeor2_acq_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldeor4_relax, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldeor4_acq, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldeor4_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldeor4_acq_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldeor8_relax, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldeor8_acq, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldeor8_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldeor8_acq_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldset1_relax, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldset1_acq, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldset1_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldset1_acq_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldset2_relax, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldset2_acq, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldset2_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldset2_acq_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldset4_relax, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldset4_acq, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldset4_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldset4_acq_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldset8_relax, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldset8_acq, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldset8_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_ldset8_acq_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_swp1_relax, values(""optimized-c"")) --check-cfg cfg(__aarch64_swp1_acq, values(""optimized-c"")) --check-cfg cfg(__aarch64_swp1_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_swp1_acq_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_swp2_relax, values(""optimized-c"")) --check-cfg cfg(__aarch64_swp2_acq, values(""optimized-c"")) --check-cfg cfg(__aarch64_swp2_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_swp2_acq_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_swp4_relax, values(""optimized-c"")) --check-cfg cfg(__aarch64_swp4_acq, values(""optimized-c"")) --check-cfg cfg(__aarch64_swp4_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_swp4_acq_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_swp8_relax, values(""optimized-c"")) --check-cfg cfg(__aarch64_swp8_acq, values(""optimized-c"")) --check-cfg cfg(__aarch64_swp8_rel, values(""optimized-c"")) --check-cfg cfg(__aarch64_swp8_acq_rel, values(""optimized-c"")) --check-cfg cfg(target_feature, values(""vis3"")) --check-cfg cfg(mem_unaligned) --check-cfg cfg(kernel_user_helpers)"
1780132214.593,22.756,9.593,68902,64.00,0.64,8.00,5,1,1,0,63.90,"/Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/bin/rustc --crate-name alloc --edition=2024 /Users/txc/.rustup/toolchains/nightly-2026-04-27-aarch64-apple-darwin/lib/rustlib/src/rust/library/alloc/src/lib.rs --error-format=json --json=diagnostic-rendered-ansi,artifacts,future-incompat --crate-type lib --emit=dep-info,metadata,link -C opt-level=3 -C linker-plugin-lto --warn=unexpected_cfgs --check-cfg cfg(no_global_oom_handling) --check-cfg cfg(no_rc) --check-cfg cfg(no_sync) --check-cfg cfg(docsrs,test) --check-cfg cfg(feature, values(""compiler-builtins-c"", ""compiler-builtins-mem"", ""optimize_for_size"")) -C metadata=a6f35e26d2584d1d -C extra-filename=-c68a4ab3c84776d3 --out-dir /private/tmp/host-starryos-aligned-j1-target-20260530T171000-native-j1/aarch64-unknown-none-softfloat/release/deps --target aarch64-unknown-none-softfloat -C strip=debuginfo -Z force-unstable-if-unmarked -L dependency=/private/tmp/host-starryos-aligned-j1-target-20260530T171000-native-j1/aarch64-unknown-none-softfloat/release/deps -L dependency=/private/tmp/host-starryos-aligned-j1-target-20260530T171000-native-j1/release/deps --extern priv:compiler_builtins=/private/tmp/host-starryos-aligned-j1-target-20260530T171000-native-j1/aarch64-unknown-none-softfloat/release/deps/libcompiler_builtins-fadd5bc9339268c7.rmeta --extern core=/private/tmp/host-starryos-aligned-j1-target-20260530T171000-native-j1/aarch64-unknown-none-softfloat/release/deps/libcore-24028a52cfebc9af.rmeta -Z unstable-options --cap-lints allow -Clink-arg=-Tlinker.x -Clink-arg=-no-pie -Clink-arg=-znostart-stop-gc"
