epoch,pid,host_cpu_pct,rss_kb,vsz_kb,cpu_time,elapsed_time
1780139775,60285,163.3,253136,439795840,0:24.58,00:16
1780139776,60285,165.4,255392,439795840,0:26.26,00:17
1780139777,60285,213.3,270496,439795840,0:28.20,00:18
1780139778,60285,338.8,341216,439795840,0:31.78,00:19
1780139779,60285,267.3,436960,439795840,0:34.61,00:20
1780139780,60285,266.4,543440,439795840,0:37.52,00:21
1780139781,60285,184.8,654688,439795840,0:39.68,00:22
1780139782,60285,439.5,686304,439795840,0:43.87,00:23
1780139783,60285,317.3,659808,439795840,0:47.26,00:24
1780139784,60285,343.7,723136,439795840,0:50.81,00:25
1780139785,60285,346.5,826272,439795840,0:54.34,00:26
1780139786,60285,334.5,793712,439795840,0:57.94,00:27
1780139787,60285,391.2,835152,439795840,1:01.97,00:28
1780139788,60285,366.0,873872,439795840,1:05.34,00:29
1780139789,60285,471.5,875696,439795840,1:10.17,00:30
1780139790,60285,460.3,884992,439795840,1:14.95,00:31
1780139791,60285,568.0,897024,439795840,1:20.34,00:32
1780139792,60285,650.8,898512,439795840,1:26.94,00:33
1780139793,60285,580.1,901408,439795840,1:33.11,00:34
1780139794,60285,478.6,906768,439795840,1:38.12,00:35
1780139795,60285,442.2,819936,439795840,1:42.43,00:36
1780139796,60285,524.0,797472,439795840,1:47.53,00:37
1780139797,60285,571.9,786752,439795840,1:53.06,00:38
1780139798,60285,499.4,676896,439795840,1:58.61,00:39
1780139799,60285,532.5,741872,439795840,2:04.03,00:40
1780139800,60285,477.1,760016,439795840,2:09.06,00:41
1780139801,60285,554.5,786432,439795840,2:14.17,00:42
1780139802,60285,471.1,800912,439795840,2:19.12,00:43
1780139803,60285,426.8,791040,439795840,2:24.04,00:44
1780139804,60285,420.7,802080,439795840,2:28.57,00:45
1780139805,60285,550.5,817168,439795840,2:34.11,00:46
1780139806,60285,629.0,859040,439795840,2:40.41,00:47
1780139807,60285,553.7,845424,439795840,2:46.17,00:48
1780139808,60285,443.4,869072,439795840,2:50.91,00:49
1780139809,60285,326.7,892784,439795840,2:54.19,00:50
1780139810,60285,367.5,888656,439795840,2:57.86,00:51
1780139811,60285,354.0,901168,439795840,3:01.41,00:52
1780139812,60285,360.5,993824,439795840,3:05.09,00:53
1780139813,60285,347.3,1084448,439795840,3:08.56,00:54
1780139814,60285,337.1,1140560,439795840,3:12.00,00:55
1780139815,60285,331.6,1187632,439795840,3:15.40,00:56
1780139816,60285,300.8,1304656,439795840,3:18.65,00:57
1780139817,60285,186.2,1395200,439795840,3:21.31,00:58
1780139818,60285,236.4,1364960,439795840,3:23.71,00:59
1780139819,60285,404.7,1445664,439795840,3:27.97,01:00
1780139820,60285,303.3,1466448,439795840,3:31.48,01:01
1780139821,60285,365.6,1501648,439795840,3:35.42,01:02
1780139822,60285,299.6,1365248,439795840,3:38.69,01:03
1780139823,60285,285.1,1216208,439795840,3:41.42,01:04
1780139824,60285,140.3,1224256,439795840,3:43.13,01:05
1780139825,60285,159.5,1358576,439795840,3:44.79,01:06
1780139826,60285,407.2,1360880,439795840,3:47.74,01:07
1780139827,60285,555.3,1356528,439795840,3:53.42,01:08
